pos,category,sub_category,abbrev,label,sub_label,field_length,min,min_numeric,max,max_numeric,units,scaling_factor,scaling_factor_numeric,missing,missing_numeric,description,dom,dom_parsed_json
1-4,control-data section,NA,NA,total variable characters,NA,4,0000,0,9999,9999,NA,NA,NA,NA,NA,The number of characters in the variable data section. The total record length = 105 + the value stored in this field.,A general domain comprised of the characters in the ASCII character set. MIN: 0000 MAX: 9999,"{""MIN"":""0000"",""MAX"":""9999""}"
5-10,control-data section,NA,NA,fixed weather station USAF master station catalog,identifier,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that represents a FIXED-WEATHER-STATION.,"A general domain comprised of the characters in the ASCII character set. COMMENT: This field includes all surface reporting stations, including ships, buoys, etc.","{""COMMENT"":""This field includes all surface reporting stations, including ships, buoys, etc.""}"
11-15,control-data section,NA,NA,fixed weather station NCEI WBAN,identifier,5,00000,0,99999,99999,NA,NA,NA,NA,NA,The identifier that represents a FIXED-WEATHER-STATION.,"A general domain comprised of the numeric characters (0-9). COMMENT: This field includes all surface reporting stations, including ships, buoys, etc.NOTE:1) For data files obtained via FTP or from NCEIs archive, the filename convention uses the USAF identifier and the WBAN identifierin the filenameeg, 723150-03812-year (such as 2006).2) As additional data sources are integrated into ISD, the 2 station number fields will be used as an 11-digit ID field, with the first 2digits representing the WMO block number (if applicable).","{""COMMENT"":""This field includes all surface reporting stations, including ships, buoys, etc.NOTE""}"
16-23,control-data section,NA,NA,geophysical point observation,date,8,00000101,101,99991231,99991231,NA,NA,NA,NA,NA,The date of a GEOPHYSICAL-POINT-OBSERVATION.,A general domain comprised of integer values 0-9 in the format YYYYMMDD. YYYY can be any positive integer value; MM is restricted to values 01-12; and DD is restricted to values 01-31.,"{""A general domain comprised of integer values 0-9 in the format YYYYMMDD. YYYY can be any positive integer value; MM is restricted to values 01-12; and DD is restricted to values 01-31."":null}"
24-27,control-data section,NA,NA,geophysical point observation,time,4,0000,0,2359,2359,NA,NA,NA,NA,NA,The time of a GEOPHYSICAL-POINT-OBSERVATION based on Coordinated Universal Time Code (UTC).,A general domain comprised of integer values 0-9 in the format HHMM. HH is restricted to values 00-23; MM is restricted to values 00-59.,"{""A general domain comprised of integer values 0-9 in the format HHMM. HH is restricted to values 00-23; MM is restricted to values 00-59."":null}"
28-28,control-data section,NA,NA,geophysical point observation,data source flag,1,1,1,Z,Z,NA,NA,NA,9,9,The flag of a GEOPHYSICAL-POINT-OBSERVATION showing the source or combination of sources used in creating the observation.,"A general domain comprised of values 1-9 and A-N. 1 = USAF SURFACE HOURLY observation, candidate for merge with NCEI SURFACE HOURLY (not yet merged,failed element cross-checks) 2 = NCEI SURFACE HOURLY observation, candidate for merge with USAF SURFACE HOURLY (not yet merged,failed element cross-checks) 3 = USAF SURFACE HOURLY/NCEI SURFACE HOURLY merged observation 4 = USAF SURFACE HOURLY observation 5 = NCEI SURFACE HOURLY observation 6 = ASOS/AWOS observation from NCEI 7 = ASOS/AWOS observation merged with USAF SURFACE HOURLY observation 4 8 = MAPSO observation (NCEI) A = USAF SURFACE HOURLY/NCEI HOURLY PRECIPITATION merged observation, candidate for merge withNCEI SURFACE HOURLY (not yet merged, failed element cross-checks) B = NCEI SURFACE HOURLY/NCEI HOURLY PRECIPITATION merged observation, candidate for merge withUSAF SURFACE HOURLY (not yet merged, failed element cross-checks) C = USAF SURFACE HOURLY/NCEI SURFACE HOURLY/NCEI HOURLY PRECIPITATION merged observation D = USAF SURFACE HOURLY/NCEI HOURLY PRECIPITATION merged observation E = NCEI SURFACE HOURLY/NCEI HOURLY PRECIPITATION merged observation F = Form OMR/1001  Weather Bureau city office (keyed data) G = SAO surface airways observation, pre-1949 (keyed data) H = SAO surface airways observation, 1965-1981 format/period (keyed data) I = Climate Reference Network observation J = Cooperative Network observation K = Radiation Network observation L = Data from Climate Data Modernization Program (CDMP) data source M = Data from National Renewable Energy Laboratory (NREL) data source N = NCAR / NCEI cooperative effort (various national datasets) O = Summary observation created by NCEI using hourly observations that may not share the same data source flag 9 = MissingNote: Latitude, longitude, elevation, and call letters for some locations with data from multiple sources (see data source flagabove) will sometimes vary within a data file due to differences in the metadata from the originating source. This does notindicate that the station locations differ; only that the metadata have not yet been fully reflected in the data records.","{""1"":""USAF SURFACE HOURLY observation, candidate for merge with NCEI SURFACE HOURLY (not yet merged,failed element cross-checks)"",""2"":""NCEI SURFACE HOURLY observation, candidate for merge with USAF SURFACE HOURLY (not yet merged,failed element cross-checks)"",""3"":""USAF SURFACE HOURLY/NCEI SURFACE HOURLY merged observation"",""4"":""USAF SURFACE HOURLY observation"",""5"":""NCEI SURFACE HOURLY observation"",""6"":""ASOS/AWOS observation from NCEI"",""7"":""ASOS/AWOS observation merged with USAF SURFACE HOURLY observation 4"",""8"":""MAPSO observation (NCEI)"",""A"":""USAF SURFACE HOURLY/NCEI HOURLY PRECIPITATION merged observation, candidate for merge withNCEI SURFACE HOURLY (not yet merged, failed element cross-checks)"",""B"":""NCEI SURFACE HOURLY/NCEI HOURLY PRECIPITATION merged observation, candidate for merge withUSAF SURFACE HOURLY (not yet merged, failed element cross-checks)"",""C"":""USAF SURFACE HOURLY/NCEI SURFACE HOURLY/NCEI HOURLY PRECIPITATION merged observation"",""D"":""USAF SURFACE HOURLY/NCEI HOURLY PRECIPITATION merged observation"",""E"":""NCEI SURFACE HOURLY/NCEI HOURLY PRECIPITATION merged observation"",""F"":""Form OMR/1001 Weather Bureau city office (keyed data)"",""G"":""SAO surface airways observation, pre-1949 (keyed data)"",""H"":""SAO surface airways observation, 1965-1981 format/period (keyed data)"",""I"":""Climate Reference Network observation"",""J"":""Cooperative Network observation"",""K"":""Radiation Network observation"",""L"":""Data from Climate Data Modernization Program (CDMP) data source"",""M"":""Data from National Renewable Energy Laboratory (NREL) data source"",""N"":""NCAR / NCEI cooperative effort (various national datasets)"",""O"":""Summary observation created by NCEI using hourly observations that may not share the same data source flag"",""9"":""Miss"",""ingNote"":""Latitude, longitude, elevation, and call letters for some locations with data from multiple sources (see data source flagabove) will sometimes vary within a data file due to differences in the metadata from the originating source. This does notindicate that the station locations differ; only that the metadata have not yet been fully reflected in the data records.""}"
29-34,control-data section,NA,NA,geophysical point observation,latitude coordinate,6,-90000,-90000,+90000,90000,Angular Degrees,1000,1000,99999,99999,The latitude coordinate of a GEOPHYSICAL-POINT-OBSERVATION where southern hemisphere is negative.,"A general domain comprised of the numeric characters (0-9), a plus sign (+), and a minus sign (-). +99999 = Missing","{""99999"":""Missing""}"
35-41,control-data section,NA,NA,geophysical point observation,longitude coordinate,7,-179999,-179999,+180000,180000,Angular Degrees,1000,1000,999999,999999,The longitude coordinate of a GEOPHYSICAL-POINT-OBSERVATION where values west from 000000 to 179999 are signed negative.,"A general domain comprised of the numeric characters (0-9), a plus sign (+), and a minus sign (-). +999999 = Missing","{""999999"":""Missing""}"
42-46,control-data section,NA,NA,geophysical report type,code,5,NA,NA,NA,NA,NA,NA,NA,99999,99999,The code that denotes the type of geophysical surface observation.,"A specific domain comprised of the characters in the ASCII character set. AERO = Aerological report AUST = Dataset from Australia AUTO = Report from an automatic station BOGUS = Bogus report BRAZ = Dataset from Brazil COOPD = US Cooperative Network summary of day report COOPS = US Cooperative Network soil temperature report CRB = Climate Reference Book data from CDMP CRN05 = Climate Reference Network report, with 5-minute reporting interval CRN15 = Climate Reference Network report, with 15-minute reporting interval FM-12 = SYNOP Report of surface observation form a fixed land station FM-13 = SHIP Report of surface observation from a sea station FM-14 = SYNOP MOBIL Report of surface observation from a mobile land station FM-15 = METAR Aviation routine weather report FM-16 = SPECI Aviation selected special weather report 5 FM-18 = BUOY Report of a buoy observation GREEN = Dataset from Greenland MESOH  Hydrological observations from MESONET operated civilian or government agency MESOS  MESONET operated civilian or government agency MESOW  Snow observations from MESONET operated civilian or government agency MEXIC = Dataset from Mexico NSRDB = National Solar Radiation Data Base PCP15 = US 15-minute precipitation network report PCP60 = US 60-minute precipitation network report S-S-A = Synoptic, airways, and auto merged report SA-AU = Airways and auto merged report SAO = Airways report (includes record specials) SAOSP = Airways special report (excluding record specials) SHEF  Standard Hydrologic Exchange Format SMARS = Supplementary airways station report SOD = Summary of day report from U.S. ASOS or AWOS station SOM = Summary of month report from U.S. ASOS or AWOS station SURF = Surface Radiation Network report SY-AE = Synoptic and aero merged report SY-AU = Synoptic and auto merged report SY-MT = Synoptic and METAR merged report SY-SA = Synoptic and airways merged report WBO = Weather Bureau Office WNO = Washington Naval Observatory 99999 = Missing","{""AERO"":""Aerological report"",""AUST"":""Dataset from Australia"",""AUTO"":""Report from an automatic station"",""BOGUS"":""Bogus report"",""BRAZ"":""Dataset from Brazil"",""COOPD"":""US Cooperative Network summary of day report"",""COOPS"":""US Cooperative Network soil temperature report"",""CRB"":""Climate Reference Book data from CDMP"",""CRN05"":""Climate Reference Network report, with 5-minute reporting interval"",""CRN15"":""Climate Reference Network report, with 15-minute reporting interval FM-"",""12"":""SYNOP Report of surface observation form a fixed land station FM-"",""13"":""SHIP Report of surface observation from a sea station FM-"",""14"":""SYNOP MOBIL Report of surface observation from a mobile land station FM-"",""15"":""METAR Aviation routine weather report FM-"",""16"":""SPECI Aviation selected special weather report 5 FM-"",""18"":""BUOY Report of a buoy observation"",""GREEN"":""Dataset from Greenland MESOH Hydrological observations from MESONET operated civilian or government agency MESOS MESONET operated civilian or government agency MESOW Snow observations from MESONET operated civilian or government agency"",""MEXIC"":""Dataset from Mexico"",""NSRDB"":""National Solar Radiation Data Base"",""PCP15"":""US 15-minute precipitation network report"",""PCP60"":""US 60-minute precipitation network report S-S-"",""A"":""Synoptic, airways, and auto merged report SA-"",""AU"":""Airways and auto merged report"",""SAO"":""Airways report (includes record specials)"",""SAOSP"":""Airways special report (excluding record specials) SHEF Standard Hydrologic Exchange Format"",""SMARS"":""Supplementary airways station report"",""SOD"":""Summary of day report from U.S. ASOS or AWOS station"",""SOM"":""Summary of month report from U.S. ASOS or AWOS station"",""SURF"":""Surface Radiation Network report SY-"",""AE"":""Synoptic and aero merged report SY-"",""AU.1"":""Synoptic and auto merged report SY-"",""MT"":""Synoptic and METAR merged report SY-"",""SA"":""Synoptic and airways merged report"",""WBO"":""Weather Bureau Office"",""WNO"":""Washington Naval Observatory"",""99999"":""Missing""}"
47-51,control-data section,NA,NA,geophysical point observation,elevation dimension,5,-0400,-400,+8850,8850,Meters,1,1,9999,9999,The elevation of a GEOPHYSICAL-POINT-OBSERVATION relative to Mean Sea Level (MSL).,"A general domain comprised of the numeric characters (0-9), a minus sign (-), and a plus sign (+). +9999 = Missing","{""9999"":""Missing""}"
